Date,Open,High,Low,Close,Volume,Change
2019-10-31,2010,2015,2000,2010,2099579,
2019-11-01,2010,2010,2005,2010,177476,0.0
2019-11-04,2010,2010,2005,2010,67975,0.0
2019-11-05,2010,2010,2005,2005,75178,-0.0024875621890547706
2019-11-06,2005,2010,2005,2010,84272,0.0024937655860348684
2019-11-07,2005,2010,2005,2005,81963,-0.0024875621890547706
2019-11-08,2010,2010,2005,2005,22264,0.0
2019-11-11,2010,2010,2005,2010,30319,0.0024937655860348684
2019-11-12,2005,2015,2005,2015,34242,0.0024875621890547706
2019-11-13,2010,2010,2005,2005,6906,-0.00496277915632759
2019-11-14,2010,2015,2005,2015,17366,0.004987531172069737
2019-11-15,2010,2015,2005,2010,11557,-0.002481389578163795
2019-11-18,2010,2010,2005,2010,28062,0.0
2019-11-19,2010,2010,2010,2010,4003,0.0
2019-11-20,2010,2010,2005,2005,5125,-0.0024875621890547706
2019-11-21,2010,2010,2005,2010,11700,0.0024937655860348684
2019-11-22,2010,2015,2005,2015,51593,0.0024875621890547706
2019-11-25,2015,2015,2005,2005,12353,-0.00496277915632759
2019-11-26,2005,2010,2005,2010,8082,0.0024937655860348684
2019-11-27,2010,2015,2010,2015,7815,0.0024875621890547706
2019-11-28,2015,2025,2010,2025,74669,0.00496277915632759
2019-11-29,2025,2025,2015,2025,38902,0.0
2019-12-02,2020,2020,2005,2010,1133,-0.007407407407407418
2019-12-03,2020,2020,2015,2015,1191,0.0024875621890547706
2019-12-04,2015,2020,2010,2020,3765,0.002481389578163684
2019-12-05,2010,2020,2005,2020,3341,0.0
2019-12-06,2020,2020,2010,2010,5294,-0.004950495049504955
2019-12-09,2005,2010,2005,2010,20002,0.0
2019-12-10,2010,2010,2005,2010,1991,0.0
2019-12-11,2005,2010,2000,2010,15178,0.0
2019-12-12,2010,2010,2000,2010,7515,0.0
2019-12-13,2010,2010,2000,2005,14382,-0.0024875621890547706
2019-12-16,2015,2015,2015,2015,1,0.004987531172069737
2019-12-17,2015,2015,2000,2010,8533,-0.002481389578163795
2019-12-18,2010,2010,2005,2010,6462,0.0
2019-12-19,2010,2010,2000,2000,4228,-0.00497512437810943
2019-12-20,2005,2015,2000,2015,39279,0.007500000000000062
2019-12-23,2000,2010,2000,2010,10961,-0.002481389578163795
2019-12-24,2010,2010,2010,2010,0,0.0
2019-12-26,2000,2010,2000,2010,7220,0.0
2019-12-27,2010,2010,2010,2010,0,0.0
2019-12-30,2005,2010,2005,2010,7800,0.0
2020-01-02,2005,2005,2000,2005,1838,-0.0024875621890547706
2020-01-03,2005,2010,2005,2010,1153,0.0024937655860348684
2020-01-06,2010,2010,2005,2010,2965,0.0
2020-01-07,2000,2015,2000,2010,6638,0.0
2020-01-08,2005,2010,2005,2010,4949,0.0
2020-01-09,2000,2010,2000,2010,948,0.0
2020-01-10,2010,2015,2000,2015,10767,0.0024875621890547706
2020-01-13,2010,2010,2005,2010,4001,-0.002481389578163795
2020-01-14,2010,2010,2005,2010,11340,0.0
2020-01-15,2010,2010,2010,2010,3000,0.0
2020-01-16,2010,2010,2005,2010,3834,0.0
2020-01-17,2010,2015,2010,2010,2942,0.0
2020-01-20,2005,2015,2005,2015,22366,0.0024875621890547706
2020-01-21,2005,2010,2005,2010,11145,-0.002481389578163795
2020-01-22,2010,2010,2005,2010,2531,0.0
2020-01-23,2010,2015,2010,2015,325,0.0024875621890547706
2020-01-28,2000,2010,2000,2010,17272,-0.002481389578163795
2020-01-29,2010,2010,2010,2010,8393,0.0
2020-01-30,2000,2010,2000,2010,18371,0.0
2020-01-31,2000,2010,2000,2010,5987,0.0
2020-02-03,2005,2010,2005,2010,8100,0.0
2020-02-04,2010,2010,2010,2010,2400,0.0
2020-02-05,2010,2010,2010,2010,11237,0.0
2020-02-06,2005,2005,2000,2005,11771,-0.0024875621890547706
2020-02-07,2010,2010,2005,2005,3859,0.0
2020-02-10,2010,2010,2010,2010,7400,0.0024937655860348684
2020-02-11,2010,2010,2010,2010,2228,0.0
2020-02-12,2010,2015,2010,2015,754,0.0024875621890547706
2020-02-13,2010,2010,2010,2010,970,-0.002481389578163795
2020-02-14,2015,2030,2015,2025,51081,0.00746268656716409
2020-02-17,2035,2035,2025,2035,30534,0.004938271604938205
2020-02-18,2035,2050,2030,2045,58513,0.004914004914004844
2020-02-19,2045,2045,2035,2035,7400,-0.004889975550122272
2020-02-20,2030,2030,2025,2025,4728,-0.004914004914004955
2020-02-21,2025,2040,2025,2040,2547,0.007407407407407307
2020-02-24,2025,2035,2025,2030,8450,-0.004901960784313708
2020-02-25,2015,2030,2000,2030,69975,0.0
2020-02-26,2010,2020,2010,2020,12111,-0.0049261083743842304
2020-02-27,2015,2035,2015,2035,10218,0.007425742574257432
2020-02-28,2015,2030,2010,2025,11762,-0.004914004914004955
2020-03-02,2010,2030,2010,2025,10413,0.0
2020-03-03,2010,2035,2010,2035,4562,0.004938271604938205
2020-03-04,2015,2020,2015,2020,61,-0.0073710073710073765
2020-03-05,2015,2020,2010,2020,707,0.0
2020-03-06,2020,2020,2020,2020,0,0.0
2020-03-09,2020,2020,2020,2020,0,0.0
2020-03-10,2015,2015,2015,2015,5250,-0.0024752475247524774
2020-03-11,2010,2010,2010,2010,2216,-0.002481389578163795
2020-03-12,2010,2020,2010,2010,4923,0.0
2020-03-13,2005,2020,2000,2005,63783,-0.0024875621890547706
2020-03-16,2000,2005,2000,2000,9395,-0.0024937655860348684
2020-03-17,1995,2010,1995,2000,15845,0.0
2020-03-18,2000,2010,2000,2000,21369,0.0
2020-03-19,1995,1995,1980,1985,38087,-0.007499999999999951
2020-03-20,2000,2000,1985,1990,590,0.0025188916876575096
2020-03-23,1985,1990,1955,1985,11104,-0.002512562814070307
2020-03-24,1990,2000,1990,1995,9641,0.005037783375314797
2020-03-25,2000,2000,1990,1995,4447,0.0
2020-03-26,2000,2000,1990,2000,24935,0.0025062656641603454
2020-03-27,2000,2000,1995,2000,2650,0.0
2020-03-30,1980,1995,1980,1995,9941,-0.0024999999999999467
2020-03-31,1990,1995,1985,1995,9312,0.0
2020-04-01,1990,1990,1985,1985,2598,-0.005012531328320802
2020-04-02,1990,1990,1985,1985,2619,0.0
2020-04-03,1985,1990,1980,1985,6342,0.0
2020-04-06,1995,1995,1995,1995,701,0.005037783375314797
2020-04-07,1985,1985,1985,1985,84,-0.005012531328320802
2020-04-08,1985,2005,1985,1985,644,0.0
2020-04-09,1985,2000,1985,2000,9765,0.007556675062972307
2020-04-10,2000,2000,2000,2000,0,0.0
2020-04-13,2000,2000,2000,2000,0,0.0
2020-04-14,2005,2005,2000,2000,2000,0.0
2020-04-16,1985,2000,1985,2000,2110,0.0
2020-04-17,2000,2000,2000,2000,30000,0.0
2020-04-20,1995,2005,1995,2005,7664,0.0024999999999999467
2020-04-21,2005,2005,2005,2005,0,0.0
2020-04-22,2000,2000,2000,2000,9489,-0.0024937655860348684
2020-04-23,2000,2000,2000,2000,130,0.0
2020-04-24,2000,2000,2000,2000,2295,0.0
2020-04-27,2000,2005,2000,2005,1986,0.0024999999999999467
2020-04-28,2005,2010,2005,2005,14022,0.0
2020-04-29,2010,2010,2005,2005,1939,0.0
2020-05-04,2005,2010,2005,2010,19186,0.0024937655860348684
2020-05-06,2005,2010,1995,1995,12035,-0.007462686567164201
2020-05-07,2010,2020,2005,2005,15070,0.005012531328320913
2020-05-08,2005,2020,2005,2020,3367,0.007481296758104827
2020-05-11,2005,2020,2005,2015,6199,-0.0024752475247524774
2020-05-12,2015,2015,2015,2015,2789,0.0
2020-05-13,2020,2020,2020,2020,1768,0.002481389578163684
2020-05-14,2015,2015,2015,2015,1916,-0.0024752475247524774
2020-05-15,2015,2015,2015,2015,2438,0.0
2020-05-18,2015,2020,2015,2020,6986,0.002481389578163684
2020-05-19,2015,2020,2015,2020,560,0.0
2020-05-20,2020,2020,2020,2020,0,0.0
2020-05-21,2020,2020,2020,2020,0,0.0
2020-05-22,2015,2015,1985,2010,47048,-0.004950495049504955
2020-05-25,2010,2010,2010,2010,800,0.0
2020-05-26,2010,2010,2000,2010,6743,0.0
2020-05-27,2000,2015,2000,2015,296,0.0024875621890547706
2020-05-28,2010,2010,2010,2010,0,-0.002481389578163795
2020-05-29,2015,2015,2010,2010,500,0.0
2020-06-01,2000,2010,2000,2010,951,0.0
2020-06-02,2005,2010,2005,2010,460,0.0
2020-06-03,2010,2010,2010,2010,0,0.0
2020-06-04,2005,2005,2005,2005,500,-0.0024875621890547706
2020-06-05,2005,2010,2000,2010,8793,0.0024937655860348684
2020-06-08,2010,2010,2005,2010,13779,0.0
2020-06-09,2005,2010,2005,2010,1159,0.0
2020-06-10,2010,2015,2010,2015,8765,0.0024875621890547706
2020-06-11,2015,2015,2010,2010,11739,-0.002481389578163795
2020-06-12,2010,2010,2010,2010,6005,0.0
2020-06-15,2005,2010,2005,2010,1083,0.0
2020-06-16,2005,2015,2005,2015,17396,0.0024875621890547706
2020-06-17,2010,2015,2010,2010,5429,-0.002481389578163795
2020-06-18,2010,2010,2010,2010,0,0.0
2020-06-19,2010,2010,2005,2005,13858,-0.0024875621890547706
2020-06-22,2000,2010,2000,2010,34305,0.0024937655860348684
2020-06-23,2005,2005,2000,2005,5067,-0.0024875621890547706
2020-06-24,2005,2015,2000,2010,14673,0.0024937655860348684
2020-06-25,2005,2015,2000,2010,26724,0.0
2020-06-26,2005,2010,2005,2010,1213,0.0
2020-06-29,2005,2015,2000,2015,11002,0.0024875621890547706
2020-06-30,2000,2015,2000,2015,9,0.0
2020-07-01,2010,2010,2010,2010,0,-0.002481389578163795
2020-07-02,2010,2010,2005,2010,1067,0.0
2020-07-03,2010,2010,2005,2010,3754,0.0
2020-07-06,2000,2015,2000,2015,12906,0.0024875621890547706
2020-07-07,2010,2010,2000,2010,1603,-0.002481389578163795
2020-07-08,2010,2010,2010,2010,0,0.0
2020-07-09,2000,2015,2000,2005,5011,-0.0024875621890547706
2020-07-10,2005,2010,2005,2010,466,0.0024937655860348684
