Date,Open,High,Low,Close,Volume,Change
2018-12-21,2144,2150,2139,2145,405739,
2018-12-24,2139,2166,2139,2150,156786,0.002331002331002363
2018-12-26,2150,2150,2150,2150,88317,0.0
2018-12-27,2150,2166,2150,2166,21620,0.007441860465116301
2018-12-28,2150,2155,2150,2150,4009,-0.007386888273314907
2019-01-02,2155,2160,2150,2150,10487,0.0
2019-01-03,2150,2155,2150,2150,3136,0.0
2019-01-04,2155,2155,2150,2150,105,0.0
2019-01-07,2150,2150,2150,2150,11235,0.0
2019-01-08,2155,2160,2155,2156,19614,0.0027906976744185297
2019-01-09,2155,2155,2155,2156,8,0.0
2019-01-10,2155,2160,2150,2150,18623,-0.002782931354359919
2019-01-11,2150,2155,2139,2150,113388,0.0
2019-01-14,2150,2160,2150,2150,17091,0.0
2019-01-15,2160,2160,2160,2161,36569,0.005116279069767415
2019-01-16,2155,2160,2155,2156,7256,-0.0023137436372050457
2019-01-17,2160,2160,2155,2156,10740,0.0
2019-01-18,2160,2160,2160,2161,7050,0.002319109461966562
2019-01-21,2160,2160,2155,2161,13367,0.0
2019-01-22,2160,2166,2160,2166,11251,0.0023137436372049347
2019-01-23,2160,2160,2144,2161,85559,-0.0023084025854108736
2019-01-24,2160,2160,2155,2156,4972,-0.0023137436372050457
2019-01-25,2155,2155,2155,2156,88,0.0
2019-01-28,2155,2155,2155,2156,20,0.0
2019-01-29,2155,2155,2155,2156,0,0.0
2019-01-30,2160,2171,2160,2172,30000,0.007421150278293043
2019-01-31,2171,2171,2160,2161,3511,-0.005064456721915245
2019-02-01,2166,2166,2160,2166,7800,0.0023137436372049347
2019-02-07,2171,2171,2171,2172,20,0.0027700831024930483
2019-02-08,2160,2160,2160,2161,11,-0.005064456721915245
2019-02-11,2160,2160,2160,2161,0,0.0
2019-02-12,2160,2160,2160,2161,0,0.0
2019-02-13,2160,2160,2160,2161,0,0.0
2019-02-14,2160,2166,2160,2161,2913,0.0
2019-02-15,2160,2160,2160,2161,10,0.0
2019-02-18,2166,2166,2166,2166,1,0.0023137436372049347
2019-02-19,2155,2160,2155,2161,2351,-0.0023084025854108736
2019-02-20,2160,2160,2160,2161,0,0.0
2019-02-21,2150,2155,2150,2156,11364,-0.0023137436372050457
2019-02-22,2155,2155,2155,2156,0,0.0
2019-02-25,2160,2160,2160,2161,0,0.002319109461966562
2019-02-26,2160,2160,2160,2161,1,0.0
2019-02-27,2160,2160,2160,2161,5350,0.0
2019-02-28,2160,2160,2155,2156,806,-0.0023137436372050457
2019-03-04,2160,2160,2160,2161,200,0.002319109461966562
2019-03-05,2160,2160,2160,2161,494,0.0
2019-03-06,2160,2160,2160,2161,0,0.0
2019-03-07,2166,2166,2160,2161,3400,0.0
2019-03-08,2160,2160,2155,2156,49071,-0.0023137436372050457
2019-03-11,2155,2166,2155,2166,62947,0.004638218923933124
2019-03-12,2166,2166,2155,2166,15449,0.0
2019-03-13,2155,2160,2155,2161,10870,-0.0023084025854108736
2019-03-14,2160,2160,2160,2161,2909,0.0
2019-03-15,2155,2166,2155,2161,3538,0.0
2019-03-18,2166,2166,2166,2166,6000,0.0023137436372049347
2019-03-19,2160,2166,2160,2166,1101,0.0
2019-03-20,2171,2171,2171,2172,246,0.0027700831024930483
2019-03-21,2171,2171,2171,2172,27214,0.0
2019-03-22,2171,2171,2171,2172,0,0.0
2019-03-25,2160,2160,2160,2161,494,-0.005064456721915245
2019-03-26,2160,2171,2160,2172,5215,0.00509023600185099
2019-03-27,2166,2166,2166,2166,99,-0.002762430939226568
2019-03-28,2166,2166,2166,2166,100,0.0
2019-03-29,2160,2166,2160,2161,3338,-0.0023084025854108736
2019-04-01,2166,2171,2160,2166,3131,0.0023137436372049347
2019-04-02,2166,2176,2166,2166,9768,0.0
2019-04-03,2166,2171,2166,2172,6000,0.0027700831024930483
2019-04-04,2182,2182,2182,2182,1652,0.004604051565377576
2019-04-05,2182,2193,2182,2182,6794,0.0
2019-04-08,2176,2176,2176,2177,3554,-0.0022914757103574823
2019-04-09,2171,2193,2171,2188,15613,0.005052824988516225
2019-04-10,2193,2193,2187,2188,758,0.0
2019-04-11,2193,2193,2171,2188,5447,0.0
2019-04-12,2166,2193,2166,2193,11,0.0022851919561244216
2019-04-15,2193,2193,2187,2188,6243,-0.002279981760145877
2019-04-16,2187,2198,2187,2198,9525,0.004570383912248621
2019-04-17,2203,2235,2198,2198,13956,0.0
2019-04-18,2166,2203,2166,2204,1934,0.0027297543221109777
2019-04-19,2225,2225,2209,2214,70204,0.00453720508166966
2019-04-22,2235,2235,2214,2220,15318,0.0027100271002709064
