Date,Open,High,Low,Close,Volume,Change
2020-02-12,2000,2015,2000,2005,1149672,
2020-02-13,2010,2015,2005,2010,65928,0.0024937655860348684
2020-02-14,2010,2015,2010,2015,135257,0.0024875621890547706
2020-02-17,2015,2040,2010,2030,214067,0.007444168734491274
2020-02-18,2035,2035,2020,2025,76721,-0.0024630541871921707
2020-02-19,2030,2030,2025,2030,23178,0.0024691358024691024
2020-02-20,2030,2035,2025,2035,3824,0.0024630541871921707
2020-02-21,2030,2035,2030,2035,36640,0.0
2020-02-24,2030,2035,2025,2025,13361,-0.004914004914004955
2020-02-25,2030,2030,2005,2010,101940,-0.007407407407407418
2020-02-26,2015,2030,2015,2030,306,0.00995024875621886
2020-02-27,2020,2025,2015,2025,14949,-0.0024630541871921707
2020-02-28,2015,2015,2015,2015,20400,-0.004938271604938316
2020-03-02,2015,2015,2015,2015,1,0.0
2020-03-03,2015,2015,2015,2015,10,0.0
2020-03-04,2010,2010,2010,2010,10000,-0.002481389578163795
2020-03-05,2015,2030,2015,2015,2153,0.0024875621890547706
2020-03-06,2015,2015,2015,2015,3641,0.0
2020-03-09,2015,2020,2015,2015,3208,0.0
2020-03-10,2015,2015,2015,2015,3650,0.0
2020-03-11,2015,2020,2015,2015,14255,0.0
2020-03-12,2015,2020,2015,2015,26096,0.0
2020-03-13,2010,2015,2010,2015,67034,0.0
2020-03-16,2015,2020,2010,2020,12213,0.002481389578163684
2020-03-17,2010,2020,2000,2020,87487,0.0
2020-03-18,2010,2010,2010,2010,7105,-0.004950495049504955
2020-03-19,2000,2000,1955,1995,76653,-0.007462686567164201
2020-03-20,2000,2005,1980,2005,6238,0.005012531328320913
2020-03-23,1990,1990,1985,1985,10434,-0.009975062344139696
2020-03-24,1990,2000,1985,1995,9327,0.005037783375314797
2020-03-25,2000,2000,1995,1995,4956,0.0
2020-03-26,2010,2010,1995,2005,55747,0.005012531328320913
2020-03-27,1990,1995,1990,1995,83,-0.004987531172069848
2020-03-30,1990,1990,1990,1990,753,-0.0025062656641604564
2020-03-31,1995,2000,1995,2000,2499,0.005025125628140614
2020-04-01,2000,2000,1990,1990,14903,-0.0050000000000000044
2020-04-02,1990,1990,1980,1990,41539,0.0
2020-04-03,1990,1990,1990,1990,1426,0.0
2020-04-06,2000,2000,1990,1990,85,0.0
2020-04-07,2000,2000,1990,1990,701,0.0
2020-04-08,1990,1990,1990,1990,811,0.0
2020-04-09,1990,1995,1990,1995,1110,0.002512562814070307
2020-04-10,1995,1995,1990,1990,2690,-0.0025062656641604564
2020-04-13,1995,1995,1995,1995,600,0.002512562814070307
2020-04-14,1990,2005,1990,1995,5635,0.0
2020-04-16,1995,1995,1985,1985,2758,-0.005012531328320802
2020-04-17,1990,1990,1985,1985,3011,0.0
2020-04-20,1990,2005,1990,2000,14570,0.007556675062972307
2020-04-21,1990,1990,1990,1990,100,-0.0050000000000000044
2020-04-22,1990,1990,1990,1990,1149,0.0
2020-04-23,1990,1990,1990,1990,2349,0.0
2020-04-24,1990,1990,1990,1990,2035,0.0
2020-04-27,1990,1990,1985,1990,2599,0.0
2020-04-28,1990,1990,1990,1990,22,0.0
2020-04-29,2000,2000,1995,2000,2360,0.005025125628140614
2020-05-04,2000,2000,2000,2000,0,0.0
2020-05-06,1995,1995,1995,1995,3,-0.0024999999999999467
2020-05-07,2005,2005,2000,2000,2215,0.0025062656641603454
