Date,Open,High,Low,Close,Volume,Change
2016-01-04,104000,105500,103500,105000,232811,0.004784688995215225
2016-01-05,105000,107500,104500,105500,266147,0.004761904761904745
2016-01-06,105500,106500,104500,106500,287804,0.009478672985782088
2016-01-07,106000,106500,103000,104000,224593,-0.023474178403755874
2016-01-08,105000,107000,103500,107000,176491,0.028846153846153744
2016-01-11,105500,109000,105500,108000,217066,0.009345794392523255
2016-01-12,109000,109000,106500,107500,199372,-0.00462962962962965
2016-01-13,108000,108500,106500,107000,134474,-0.0046511627906976605
2016-01-14,107000,108000,106000,106000,259177,-0.009345794392523366
2016-01-15,107500,108000,105000,105000,267233,-0.009433962264150941
2016-01-18,105000,108000,105000,106500,175209,0.014285714285714235
2016-01-19,106500,109500,104500,108000,249661,0.014084507042253502
2016-01-20,107500,109000,105500,106000,193205,-0.01851851851851849
2016-01-21,108000,108500,105500,106500,309171,0.004716981132075526
2016-01-22,105500,105500,100000,100500,673159,-0.05633802816901412
2016-01-25,98600,99000,93700,97000,835324,-0.03482587064676612
2016-01-26,97400,101500,97200,100500,367136,0.03608247422680422
2016-01-27,101000,101500,97500,98200,415010,-0.022885572139303534
2016-01-28,98300,102500,98300,102000,327905,0.0386965376782078
2016-01-29,102000,104000,101500,103500,432649,0.014705882352941124
2016-02-01,103500,104500,101500,104000,284122,0.004830917874396157
2016-02-02,104000,105000,103000,103500,315620,-0.004807692307692291
2016-02-03,104500,106500,103500,106500,266675,0.02898550724637672
2016-02-04,107500,108500,105500,107500,296162,0.009389671361502261
2016-02-05,107500,108000,105000,105500,184704,-0.018604651162790753
2016-02-11,106500,110000,105500,108500,616638,0.028436018957346043
2016-02-12,108500,109000,107000,108500,307057,0.0
2016-02-15,109000,109000,106000,107500,378774,-0.009216589861751112
2016-02-16,107000,110000,107000,109000,198943,0.013953488372093092
2016-02-17,107500,109000,105500,106000,320550,-0.02752293577981646
2016-02-18,106000,107500,105500,107500,189837,0.014150943396226356
2016-02-19,106500,109000,106500,108500,134127,0.009302325581395321
2016-02-22,108000,109000,106500,109000,190693,0.004608294930875667
2016-02-23,108500,109000,107500,108000,127703,-0.00917431192660545
2016-02-24,107000,107000,104500,105500,258514,-0.02314814814814814
2016-02-25,105000,109500,105000,109000,245702,0.033175355450236976
2016-02-26,108500,109500,106500,107000,208044,-0.01834862385321101
2016-02-29,106500,109500,106500,106500,287849,-0.004672897196261627
2016-03-02,107500,109500,107000,108000,202874,0.014084507042253502
2016-03-03,108000,108500,105500,107500,272674,-0.00462962962962965
2016-03-04,106500,107000,105000,105000,229217,-0.023255813953488413
2016-03-07,105500,107000,104500,105500,196316,0.004761904761904745
2016-03-08,105000,106000,103000,105500,217468,0.0
2016-03-09,105500,108500,104500,108500,265376,0.028436018957346043
2016-03-10,108500,109000,106500,107000,321094,-0.01382488479262678
2016-03-11,107000,109000,106500,106500,185995,-0.004672897196261627
2016-03-14,107500,108000,106000,108000,185745,0.014084507042253502
2016-03-15,107000,108000,106500,107500,166682,-0.00462962962962965
2016-03-16,107000,108500,107000,107000,175424,-0.0046511627906976605
2016-03-17,107500,110000,107500,108500,343095,0.014018691588784993
2016-03-18,108500,109000,107000,107500,647339,-0.009216589861751112
2016-03-21,107500,108500,106500,106500,256003,-0.009302325581395321
2016-03-22,107000,109000,106500,108500,309551,0.018779342723004744
2016-03-23,109000,109500,106500,107000,399464,-0.01382488479262678
2016-03-24,107500,108500,107000,108000,336137,0.009345794392523255
2016-03-25,108000,109000,107000,108500,83447,0.004629629629629539
2016-03-28,108500,109000,107500,108500,180936,0.0
2016-03-29,108500,110000,108000,110000,293738,0.01382488479262678
2016-03-30,111500,113000,110000,111500,300973,0.013636363636363669
2016-03-31,112000,112000,109000,110000,254128,-0.013452914798206317
2016-04-01,111000,112500,109500,111500,323419,0.013636363636363669
2016-04-04,110500,111500,108500,109500,193831,-0.017937219730941756
2016-04-05,109000,109500,108000,108500,166851,-0.0091324200913242
2016-04-06,109500,113000,109500,112000,354942,0.032258064516129004
2016-04-07,113500,114500,111000,112500,275093,0.0044642857142858094
2016-04-08,111000,115500,111000,115500,235575,0.026666666666666616
2016-04-11,115500,116000,112500,114000,267619,-0.012987012987012991
2016-04-12,113500,114000,112500,112500,199865,-0.013157894736842146
2016-04-14,113000,114000,110000,112500,618823,0.0
2016-04-15,113500,117500,113000,116000,453156,0.03111111111111109
2016-04-18,114000,115500,113500,114500,232890,-0.012931034482758674
2016-04-19,115000,115000,113000,114000,155923,-0.004366812227074246
2016-04-20,115000,116000,113500,114000,207187,0.0
2016-04-21,114500,121500,113000,119000,1072823,0.04385964912280693
2016-04-22,122500,125500,121500,124000,943547,0.04201680672268915
2016-04-25,123000,124000,121000,121500,456248,-0.020161290322580627
2016-04-26,121000,124000,120500,123000,327936,0.012345679012345734
2016-04-27,123500,127000,123000,127000,436064,0.03252032520325199
2016-04-28,126000,126500,122000,123000,482866,-0.03149606299212604
2016-04-29,123500,124000,122000,123000,286607,0.0
2016-05-02,123000,124500,122500,123000,134653,0.0
2016-05-03,124000,124000,122000,123000,248669,0.0
2016-05-04,122500,125000,122500,125000,473581,0.016260162601626105
2016-05-09,124000,132000,124000,132000,479008,0.05600000000000005
