Date,Open,High,Low,Close,Volume,Change
2019-07-25,22800,29600,22000,29600,5074308,
2019-07-26,32100,34100,21400,22500,3620125,-0.2398648648648649
2019-07-29,23350,23800,19000,19800,859028,-0.12
2019-07-30,19800,20050,16500,16900,654673,-0.14646464646464652
2019-07-31,16800,21500,16600,18050,3813828,0.06804733727810652
2019-08-01,17550,17650,14750,15100,560234,-0.1634349030470914
2019-08-02,14750,16150,13950,14500,702962,-0.039735099337748325
2019-08-05,14050,14450,12550,12600,222597,-0.13103448275862073
2019-08-06,12300,13850,11100,12300,447362,-0.023809523809523836
2019-08-07,12750,13350,12300,12500,210789,0.016260162601626105
2019-08-08,12600,13800,12500,13250,264550,0.06000000000000005
2019-08-09,13150,13900,12950,13550,344369,0.02264150943396226
2019-08-12,13450,13650,13100,13250,108195,-0.022140221402214055
2019-08-13,13100,13100,12300,12450,116683,-0.060377358490566024
2019-08-14,12850,13200,12500,12650,87916,0.016064257028112428
2019-08-16,12500,12600,11800,12050,76090,-0.04743083003952564
2019-08-19,12300,13750,12200,12500,461771,0.03734439834024905
2019-08-20,12750,13300,12650,12900,216351,0.03200000000000003
2019-08-21,13100,13100,12650,12650,99328,-0.019379844961240345
2019-08-22,12700,13100,12450,12950,149693,0.02371541501976293
2019-08-23,12950,13000,12450,12600,160670,-0.027027027027026973
2019-08-26,12000,12150,11250,11250,171402,-0.1071428571428571
2019-08-27,11600,12000,11150,11350,123113,0.008888888888888946
2019-08-28,11400,12500,11300,11800,361677,0.0396475770925111
2019-08-29,11750,12800,11700,12000,297271,0.016949152542372836
2019-08-30,12200,12450,11900,12000,117403,0.0
2019-09-02,11900,12200,11600,12200,115198,0.016666666666666607
2019-09-03,12350,13050,12100,12800,321726,0.049180327868852514
2019-09-04,12800,12950,12550,12900,117817,0.0078125
2019-09-05,12900,13450,12650,12850,218447,-0.003875968992248069
2019-09-06,12950,13550,12650,13200,270149,0.027237354085603016
2019-09-09,13350,13900,13050,13500,259768,0.022727272727272707
2019-09-10,13650,15150,13200,14500,1264235,0.07407407407407418
2019-09-11,14650,15850,14150,14350,717469,-0.010344827586206917
2019-09-16,14650,14950,14200,14250,215012,-0.006968641114982632
2019-09-17,14300,14300,13600,13700,169796,-0.038596491228070184
2019-09-18,13700,13900,13550,13900,136252,0.014598540145985384
2019-09-19,14400,14450,13700,13700,146048,-0.014388489208633115
2019-09-20,13650,13950,13450,13750,79418,0.0036496350364962904
2019-09-23,13750,13750,13150,13300,86508,-0.032727272727272716
2019-09-24,13200,13500,12900,13100,76367,-0.015037593984962405
