Date,Open,High,Low,Close,Volume,Change
2019-11-18,14549,17024,13378,15519,2649280,
2019-11-19,15719,16137,15117,15519,302336,0.0
2019-11-20,15368,15418,14499,14733,130594,-0.05064759327276247
2019-11-21,14515,14917,13863,14399,118110,-0.02267019615828414
2019-11-22,14482,15218,13746,14817,135879,0.029029793735676046
2019-11-25,15117,15435,14917,15034,65982,0.014645339812377589
2019-11-26,15151,15151,13980,14048,93975,-0.06558467473726226
2019-11-27,14181,14933,14164,14516,102285,0.03331435079726641
2019-11-28,14415,16305,14264,15553,226024,0.07143841278589136
2019-11-29,15552,16255,15502,15887,91662,0.02147495660001275
2019-12-02,15887,16238,14683,15402,61328,-0.030528104739724338
2019-12-03,14850,14967,14616,14800,71127,-0.039085833008700166
2019-12-04,14800,16271,14716,15486,84383,0.04635135135135138
2019-12-05,15619,16405,15619,16104,79595,0.039907012785741935
2019-12-06,15887,16639,15351,16640,69950,0.03328365623447582
2019-12-09,16656,17057,16054,16589,43377,-0.003064903846153877
2019-12-10,16589,19231,15786,18228,148548,0.09880040991018135
2019-12-11,18094,18629,17258,18061,59631,-0.009161729207812108
2019-12-12,17927,18629,17124,17794,39750,-0.014783234593876315
2019-12-13,17826,18395,16706,17225,52707,-0.03197707092278301
2019-12-16,17291,17960,16606,17794,49643,0.03303338171262693
2019-12-17,17659,21338,17525,18998,75953,0.06766325727773403
2019-12-18,18897,20770,17760,19600,294205,0.0316875460574797
2019-12-19,19566,20001,19332,19700,100629,0.005102040816326481
2019-12-20,19733,20034,19499,19700,45184,0.0
2019-12-23,19900,19900,18730,19232,39038,-0.023756345177665006
2019-12-24,19231,19900,18429,19533,47760,0.015650998336106392
2019-12-26,19398,20034,19198,20001,41288,0.023959453232990313
2019-12-27,20034,20034,19198,19901,57516,-0.004999750012499415
2019-12-30,19666,20603,19666,20135,26980,0.011758203105371567
2020-01-02,20235,20435,19934,20235,29934,0.004966476285075849
2020-01-03,20402,20402,19633,19867,26110,-0.01818631084754141
2020-01-06,19700,19700,18830,18864,27919,-0.05048573010519952
2020-01-07,19064,20469,19064,19767,59694,0.04786895674300262
2020-01-08,19733,19733,18495,18763,45251,-0.05079172357970352
