Date,Open,High,Low,Close,Volume,Change
2018-12-24,30050,39050,30000,39050,2053101,
2018-12-26,38250,39400,34500,35000,1297509,-0.10371318822023046
2018-12-27,37650,40950,37050,37850,707296,0.0814285714285714
2018-12-28,38200,46650,37500,43500,1054643,0.14927344782034346
2019-01-02,44600,48250,43400,44350,484014,0.019540229885057547
2019-01-03,44350,44850,41000,44000,255820,-0.007891770011273946
2019-01-04,43750,50600,42650,50600,444357,0.1499999999999999
2019-01-07,51999,54500,49950,50100,310797,-0.00988142292490124
2019-01-08,49150,50250,45750,46450,242989,-0.0728542914171657
2019-01-09,46900,47750,44100,46800,255628,0.00753498385360607
2019-01-10,46099,49499,45000,48850,190162,0.04380341880341887
2019-01-11,49500,49500,46000,46000,115880,-0.05834186284544529
2019-01-14,45550,45600,42850,43100,84536,-0.06304347826086953
2019-01-15,43350,44300,42550,43100,61933,0.0
2019-01-16,43650,43850,40750,43350,97792,0.0058004640371229765
2019-01-17,42800,43700,41400,41400,45112,-0.04498269896193774
2019-01-18,41250,41750,39400,40150,80826,-0.03019323671497587
2019-01-21,39550,39800,37400,37600,103613,-0.06351183063511834
2019-01-22,37950,42000,37500,40150,206635,0.06781914893617014
2019-01-23,40150,44000,39300,41750,178483,0.03985056039850554
2019-01-24,41400,42400,40700,41900,92032,0.00359281437125758
2019-01-25,41600,42900,41250,41450,37954,-0.010739856801909253
2019-01-28,41900,44700,41450,42550,143892,0.026537997587454676
2019-01-29,42350,43500,42200,43100,60916,0.01292596944770863
2019-01-30,43150,43400,40300,40800,98395,-0.05336426914153136
2019-01-31,41000,41850,40350,41200,39146,0.009803921568627416
2019-02-01,41250,43250,40400,43250,54563,0.04975728155339798
2019-02-07,43350,47350,43250,46150,124382,0.06705202312138736
2019-02-08,46150,47400,45300,47300,55400,0.024918743228602436
2019-02-11,47300,51000,47050,49400,129564,0.044397463002114224
2019-02-12,49500,50500,47349,47450,92201,-0.03947368421052633
2019-02-13,47900,48450,46800,47900,38397,0.0094836670179137
2019-02-14,48100,48250,45800,46600,54641,-0.02713987473903967
2019-02-15,46150,49099,46100,48200,57007,0.03433476394849788
2019-02-18,48450,49000,46450,47000,48394,-0.024896265560165998
2019-02-19,47050,47250,45150,46600,44483,-0.008510638297872353
2019-02-20,46399,48100,45600,47250,61047,0.013948497854077146
2019-02-21,46850,48249,46700,47000,31182,-0.005291005291005346
2019-02-22,46799,47400,45750,46750,40477,-0.005319148936170248
2019-02-25,46750,47000,45600,45750,59586,-0.021390374331550777
2019-02-26,46000,47000,45600,45900,50585,0.003278688524590123
2019-02-27,45950,46400,45200,46250,44799,0.007625272331154731
